data,decision
"документам ответчик не представил. Доказательств оплаты ответчик в материалы дела не представил. В соответствии со ст.ст. 309-310 ГК РФ обязательства должны исполняться надлежащим образом в соответствии с условиями обязательства и требованиями закона. Односторонний отказ от исполнения обязательства и одностороннее изменение его условий не допускаются. Ответчик сумму долга не оспорил, контррасчет суммы задолженности не представил, доводы истца не опроверг, своевременность оплаты не доказал. Обстоятельства наличия задолженности перед истцом ответчик не оспорил и документально не опроверг. Согласно ч.2 ст.9 АПК РФ лица, участвующие в деле, несут риск наступления последствий совершения или не совершения ими процессуальных действий. Таким образом, суд приходит к выводу, что иск подлежит удовлетворению. Судебные расходы, согласно ст. 110 АПК РФ, относятся на ответчика. На основании вышеизложенного, руководствуясь ст. ст. 307 - 310, 330, 333 ГК РФ, ст. ст. 110, 123, 156, 167 - 171 АПК РФ, суд",в пользу ответчика
"воинская часть Вооруженных Сил Российской Федерации могут являться юридическим лицом в форме федерального казенного учреждения. В соответствии с ч. 1 ст. 123.22. ГК РФ государственное или муниципальное учреждение может быть казенным, бюджетным или автономным учреждением. Пунктом 4 названной статьи предусмотрено, что казенное учреждение отвечает по своим обязательствам находящимися в его распоряжении денежными средствами. Согласно выписке из Единого государственного реестра юридических лиц Федеральное казенное учреждение «Объединенное стратегическое командование Южного военного округа» является юридическим лицом. Таким образом, Министерство обороны Российской Федерации является ненадлежащим ответчиком по настоящему делу, в связи с чем основания для удовлетворения исковых требований отсутствуют. На основании ст. 110 АПК РФ расходы по оплате государственной пошлины относятся на истца. Руководствуясь ст.ст. 309, 310, 929, 931, 965, 1079 ГК РФ, ст.ст. 110, 123, 156, 167-171, 176 АПК РФ, суд",отказано
" организацией, индивидуальным предпринимателем, а равно некоммерческой организацией, нарушившей обязательство при осуществлении ею приносящей доход деятельности, допускается в исключительных случаях, если она явно несоразмерна последствиям нарушения обязательства и может повлечь получение кредитором необоснованной выгоды (пункты 1 и 2 статьи 333 ГК РФ). Ответчиком не представлено доказательств явной несоразмерности заявленной истцом к взысканию неустойки последствиям нарушения обязательства, в связи с чем суд не усматривает правовых оснований для применения положений ст. 333 ГК РФ и снижения неустойки. В связи с изложенным, заявленные требования являются правомерными и обоснованными, в связи с чем, подлежат удовлетворению в полном объеме. Расходы по оплате государственной пошлины по иску распределяются в порядке ст. 110 Арбитражного процессуального кодекса Российской Федерации. На основании изложенного и руководствуясь ст.ст. 110, 123, 156, 167, 168, 169, 170, 171, 176, 177 АПК РФ, суд",в пользу ответчика
" размере 20% от неуплаченной суммы. Согласно расчету истца, размер штрафа в силу п. 4.3 договора составляет 55 635,43 руб. 4 Суд приходит к выводу о том, что требование о взыскании штрафа в размере 55 635,43 руб. подлежит удовлетворению. Таким образом, заявленные исковые требования подлежат удовлетворению в полном объёме. Также истцом заявлено о взыскании почтовых расходов в размере 744,08 руб. Истцом в рамках дела были понесены расходы на направление ответчику досудебной претензии и искового заявления на адрес, предусмотренный договором для корреспонденции, которые составили 744,08 руб. Почтовые расходы в указанном размере подтверждены представленными в материалы дела почтовыми квитанциями и подлежат удовлетворению в полном объеме, применительно к положениям ст. ст. 101, 106, 110 АПК РФ. Расходы по оплате государственной пошлины распределены в порядке статьи 110 АПК РФ. Руководствуясь ст. ст. 4, 9, 27, 41, 63 - 65, 71, 110, 121, 122, 123, 131, 167 - 171, 176, 180, 181, 226-229 АПК РФ,",частично
"07 рублей. Ответчиком внесены денежные средства на депозит суда платежным поручением № 55 от 25.03.2024 в размере 100 000 рублей. Определением Арбитражного суда г. Москвы от 18.02.2025 перечислены АНО ""СУДЕБНЫЙ ЭКСПЕРТ"" (ИНН 7743109219) денежные средства в размере 198 180 руб. по счету от 14.10.2024 № А000412/24, поступившие по платежному поручению № 17147 от 15.02.2024, по платежному поручению № 55 от 25.03.2024. Поскольку рассмотрение настоящего дела завершилось принятием судебного акта об отказе в удовлетворении исковых требований в части взыскании убытков в размере 1 382 971 руб. 28 коп., судебные расходы на оплату экспертизы, понесенные ответчиком, подлежат возмещению истцом в размере 100 000 руб. Возражения истца, что экспертиза проведена по инициативе ответчика, и следовательно расходы должны быть понесены ИП ТУРОВЕЦКИМ В.Н., с противоречат требования ст.ст.110-112 АПК РФ С учетом изложенного, руководствуясь ст. ст. 4, 9, 27, 110, 176 Арбитражного процессуального кодекса РФ, суд",принято
"бстоятельства дела, которые согласно закону, должны быть подтверждены определенными доказательствами, не могут подтверждаться в арбитражном суде иными доказательствами. Достаточность доказательств можно определить как наличие необходимого количества сведений, достоверно подтверждающих те или иные обстоятельства спора. Отсутствие хотя бы одного из указанных признаков является основанием не признавать требования лица, участвующего в деле, обоснованными (доказанными). Изучив материалы дела, руководствуясь требованиями действующего законодательства, оценив в совокупности представленные сторонами доказательства, суд приходит к выводу о том, что исковые требования акционерного общества Интесс СА (Швейцария) подлежат удовлетворению в полном объеме. В соответствии со статьей 110 АПК РФ расходы по оплате государственной пошлины суд относит на ответчика. Руководствуясь статьями 16, 17, 28, 102, 110, 167-171, 176, 318, 319 Арбитражного процессуального кодекса Российской Федерации, арбитражный суд",принято
"тации зданий), поскольку в соответствии с частями 1 и 2 статьи 32.12 КоАП РФ и частью 2 статьи 109 Федерального закона от 02.10.2007 №229-ФЗ ""Об исполнительном производстве"" меры по обеспечению исполнения указанных в постановлении мероприятий применяются судебными приставами- исполнителями и выбираются ими самостоятельно. Учитывая вышеприведенные нормы права с учетом разъяснений Верховного суда Российской Федерации, установленные по делу обстоятельства, суд приходит к выводу о наличии оснований для применения к обществу меры ответственности в виде административного приостановления деятельности по строительству объекта капитального строительства - «Проектирование и строительство жилого корпуса «Дом-интернат для престарелых и инвалидов городского округа Самара», расположенного по адресу: Самарская область, г. Самара, Промышленный район, Просека 8 сроком на 10 суток. Руководствуясь ст. ст. 167-170, 176, 180-181, 206 Арбитражного процессуального кодекса Российской Федерации, арбитражныйсуд",принято
" РФ от 02.06.2004 №10 «О некоторых вопросах, возникших в судебной практике при рассмотрении дел об административных правонарушениях» установив в судебном заседании факт истечения срока давности привлечения к ответственности, суд, руководствуясь частью 6 статьи 205 и частью 2 статьи 206 АПК РФ, принимает решение об отказе в удовлетворении требования административного органа о привлечении к административной ответственности. Учитывая изложенные обстоятельства, суд установил наличие оснований для отказа в удовлетворении заявления и прекращения производства по делу об административном правонарушении. В соответствии с частью 2 статьи 204 Арбитражного процессуального кодекса Российской Федерации заявление о привлечении к административной ответственности государственной пошлиной не облагается, в связи с чем вопрос о ее распределении судом не рассматривается. Руководствуясь статьями 167-170, 176, 206 Арбитражного процессуального кодекса Российской Федерации, Арбитражный суд Республики Татарстан",отказано
"ствами взимаются по день уплаты суммы этих средств кредитору, если законом, иными правовыми актами или договором не установлен для начисления процентов более короткий срок. Таким образом, данное требование истца подлежит частичному удовлетворению в сумме 3 171 руб. 67 коп. процентов за пользование чужими денежными средствами за период с 18.01.2022 по 31.03.2022 и со 02.10.2022 по 26.02.2025. Проценты за пользование чужими денежными средствами за период с 27.02.2025 по день фактической оплаты суммы А79-9497/2024 9 долга – 8974 руб. 44 коп., также подлежат начислению по ключевой ставке Банка России, действовавшей в соответствующие периоды. На основании изложенного, иск подлежит частичному удовлетворению. Вопрос о взыскании государственной пошлины судом не рассматривается, поскольку стороны от ее уплаты освобождены в соответствии со статьей 333.37 Налогового кодекса Российской Федерации. Руководствуясь статьями 110, 167 – 170, 176 Арбитражного процессуального кодекса Российской Федерации,",частично
"ено. Проанализировав доказательства по правилам статьи 71 Арбитражного процессуального кодекса Российской Федерации, суд полагает возможным в удовлетворении иска отказать. (Аналогичный правовой подход содержится в постановлении Арбитражного суда Центрального округа от 16.05.2017 № Ф10-1419/2017 по делу № А14-3546/2016, постановлении Арбитражного суда Западно-Сибирского округа от 22.01.2025 № Ф04- 5729/2024 по делу № А45-15927/2023.) В соответствии с частью 1 статьи 110 Арбитражного процессуального кодекса Российской Федерации судебные расходы, понесенные лицами, участвующими в деле, в пользу которых принят судебный акт, взыскиваются арбитражным судом со стороны. При обращении в суд истцом была оплачена государственная пошлина в размере 6000 руб. (л.д. 18, 19). По результатам рассмотрения настоящего дела судебные расходы по оплате государственной пошлины относятся на истца. Руководствуясь статьями 110, 112, 167-170, 180, 181 Арбитражного процессуального кодекса Российской Федерации, суд",отказано
"22 № 474 «О некоторых особенностях регулирования жилищных отношений в 2022 - 2024 годах». Согласно статье 333 ГК РФ, если подлежащая уплате неустойка явно несоразмерна последствиям нарушения обязательства, суд вправе уменьшить неустойку. Если обязательство нарушено лицом, осуществляющим предпринимательскую деятельность, суд вправе уменьшить неустойку при условии заявления должника о таком уменьшении. Основания для уменьшения размера заявленной к взысканию неустойки в настоящем случае отсутствуют. С учетом положений части 1 статьи 110 АПК РФ с Предпринимателя в пользу Компании подлежит взысканию 10 189 руб. расходов по уплате государственной пошлины по иску. Излишне уплаченные Компанией 164 руб. государственной пошлины в соответствии с положениями статьи 333.40 Налогового кодекса Российской Федерации подлежат возврату из федерального бюджета. На основании вышеизложенного, руководствуясь статьями 110, 167-170, 171 Арбитражного процессуального кодекса Российской Федерации, арбитражный суд",принято
"бжающей организации (теплоснабжающей организации) пени в размере одной стотридцатой ставки рефинансирования Центрального банка Российской Федерации, действующей на день фактической оплаты, от не выплаченной в срок суммы за каждый день просрочки начиная со следующего дня после дня наступления установленного срока оплаты по день фактической оплаты. Расчет пени судом проверен, признан арифметически верным, ответчиком не оспорен. Оснований для снижения неустойки в силу статьи 333 Гражданского кодекса Российской Федерации, суд не усматривает. Таким образом, требование истца о взыскании пени подлежит удовлетворению в размере 31 рубля 26 копеек за период 10.11.2024 по 12.12.2024. Судебные расходы по уплате государственной пошлины распределяются в соответствии с правилами статьи 110 Арбитражного процессуального кодекса Российской Федерации. На основании изложенного, руководствуясь статьей 110, частью 5 статьи 170, статьей 130, 159, 229 Арбитражного процессуального кодекса Российской Федерации,",отказано
"бретатель узнал или должен был узнать о неосновательности получения или сбережения денежных средств. На основании этой нормы с ответчика также подлежат взысканию проценты за пользование чужими денежными средствами, начисленные за период с 17 октября 2023 года по 09 июля 2024 года в размере в размере 37 072 рубля, согласно представленному истцом расчету (л.д. 32. 75). При подаче иска истец оплатил государственную пошлину в размере 10 231 рубль (л.д. 8-9, 48-50), хотя, исходя из размера заявленных требований, должен был оплатить 10 222 рубля, в связи с чем подлежит возврату истцу пошлина в размере 9 рублей. В остальной части, в соответствии со статьями 110 и 111 Арбитражного процессуального кодекса Российской Федерации, статьей 333.21 Налогового кодекса Российской Федерации, государственная пошлина взыскивается с ответчика в пользу истца. А70-16754/2024 3 На основании вышеизложенного, руководствуясь статьями 110, 167-171, 181-182 Арбитражного процессуального кодекса Российской Федерации,",принято
"ванной налоговой экономии путем завышения налоговых вычетов по НДС, при отсутствии реальных сделок с контрагентами ООО «Эковтор», ООО НП «Канал», ООО «Зинтер», ООО «Экофасад», ООО «Парус», ООО «Ясень», ООО «Тандем» чем нарушены положения статей 169, 171, 172, 54.1 НК РФ, и опровергают доводы Заявителя о недоказанности налоговым органом фактов нереальности сделок со спорными контрагентами. Учитывая изложенное, решение о привлечении к ответственности за совершение налогового правонарушения от 17.05.2024 №2896 является законным и обоснованным. В силу ч. 1 ст. 110 АПК РФ судебные расходы, понесенные лицами, участвующими в деле, в пользу которых принят судебный акт, взыскиваются арбитражным судом со стороны. Поскольку в удовлетворении заявленных требований отказано, то судебные расходы, понесённые заявителем на оплату государственной пошлины не подлежат взысканию с ответчика. Руководствуясь статьями 110, 167-170, 201 Арбитражного процессуального кодекса Российской Федерации, арбитражный суд",частично
" с ответчика 1 408 661,67 руб. неосновательного обогащения вследствие их неправомерного удержания и уклонения от их возврата, а ответчиком не представлено доказательств возврата денежных средств либо совершения действия взамен, то право истца на начисление процентов законно и обоснованно. В силу изложенного, суд признает заявленные требования в указанной части подлежащими удовлетворению за период с 04.11.2023 по 01.12.2024 в размере 256 384,97 руб. Государственная пошлина с суммы требований 1 665 046,64 руб. – 29 650 руб. Истцом при подаче искового заявления уплачена государственная пошлина в размере 24 526 руб. платежным поручением № 2599 от 06.08.2024. На основании статьи 110 АПК РФ расходы по уплате государственной пошлины в размере 24 526 руб. подлежат взысканию с ответчика в пользу истца, государственная пошлина 5 124 руб. подлежит взысканию с ответчика в доход федерального бюджета. Руководствуясь ст. 110, 167-170, 180 Арбитражного процессуального кодекса Российской Федерации, суд",отказано
"я им процессуальных действий в соответствии со ст. 9 АПК РФ. Учитывая отсутствие контррасчета ответчика, проверив расчет истца, суд считает его составленным арифметически и методически не верно. По расчету суда истец имеет право на взыскание пени в большем размере. Поскольку суд не вправе выходить за пределы исковых требований, увеличивая тем самым сумму исковых требований, с ответчика в пользу истца подлежит взысканию пени в размере 92 320 руб. 99 коп., подлежат удовлетворению в полном объеме. В соответствии со статьей 110 АПК РФ судебные расходы, понесенные лицами, участвующими в деле, в пользу которых принят судебный акт, взыскиваются арбитражным судом со стороны. На основании изложенного, расходы по оплате госпошлины следует отнести на ответчика с учетом произведенных оплат как до, так и после обращения истца в суд с настоящим иском и удовлетворения уточненных исковых требований. Руководствуясь ст.ст. 9, 49, 65, 71, 110, 137, 150, 156, 159, 167-170, 171, 176 АПК РФ, арбитражный суд",частично
"ом суде, отнесены денежные суммы, подлежащие выплате экспертам, специалистам, свидетелям, переводчикам, расходы, связанные с проведением осмотра доказательств на месте, расходы на оплату услуг адвокатов и иных лиц, оказывающих юридическую помощь (представителей), расходы юридического лица на уведомление о корпоративном споре в случае, если федеральным законом предусмотрена обязанность такого уведомления, и другие расходы, понесенные лицами, участвующими в деле, в связи с рассмотрением дела в арбитражном суде. Вышеназванные расходы непосредственно связаны с рассмотрением настоящего дела, необходимы, обоснованы и подтверждены документально. Таким образом, 110 руб. расходов на приобретение товара, 132 руб. почтовых расходов, 200 руб. расходов на получение выписки ЕГРИП подлежат взысканию с ответчика. Расходы по оплате государственной пошлины в соответствии со статьей 110 АПК РФ также подлежат возложению на ответчика. Руководствуясь статьями 110, 167–170, 226-229 АПК РФ, арбитражный суд 12",в пользу ответчика
"несенные лицами, участвующими в деле, в пользу которых принят судебный акт, взыскиваются арбитражным судом со стороны. При подаче иска истцом оплачена государственная пошлина в сумме 81 457,46 рублей, что подтверждается платёжным поручением № 26522 от 11.12.2024. 7 1083_659085 Уплату пошлины в соответствии со статьей 110 Арбитражного процессуального кодекса Российской Федерации следует отнести на ответчика. Настоящее решение выполнено в форме электронного документа, подписано электронной подписью судьи и считается направленным лицам, участвующим в деле, посредством размещения на официальном сайте суда в сети ""Интернет"" в режиме ограниченного доступа. По ходатайству лиц, участвующих в деле, копии решения на бумажном носителе могут быть направлены им в пятидневный срок со дня поступления соответствующего ходатайства заказным письмом с уведомлением о вручении или вручены им под расписку. Руководствуясь статьями 167 – 176 и 181 Арбитражного процессуального кодекса Российской Федерации, суд",принято
"а подлежит взысканию с должника (статья 202 Гражданского процессуального кодекса Российской Федерации, статья 179 Арбитражного процессуального кодекса Российской Федерации). При этом день фактического исполнения нарушенного обязательства, в частности, день уплаты задолженности кредитору, включается в период расчета неустойки. Таким образом, с ответчика в пользу истца подлежат взысканию пени, рассчитанной в соответствии с абзацем 8 пункта 2 статьи 37 Федерального закона от 26.03.2003 № 35-ФЗ «Об электроэнергетике», за период с 01.06.2024 по день фактической оплаты ответчиком суммы основного долга. В соответствии с частью 1 статьи 110 АПК РФ судебные расходы, понесенные лицами, участвующими в деле, в пользу которых принят судебный акт, взыскиваются арбитражным судом со стороны. На основании изложенного, расходы по оплате госпошлины следует отнести на ответчика с учетом удовлетворения исковых требований. Руководствуясь ст. ст. 9, 49, 65, 71, 110, 156, 167, 171, 176 АПК РФ, арбитражный суд",частично
"лежащую взысканию, а также то, что такое взыскание производится до момента фактического исполнения обязательства. Учитывая выше изложенное, с ответчика в пользу истца подлежит взысканию 220 344,84 рублей пени, а также пени, начисленные на сумму долга в размере 25 342 716,5 рублей, исходя из 0,1% за каждый день просрочки, начиная с 20.12.2024г. по день фактического исполнения обязательства. В удовлетворении остальной части требования о взыскании пени надлежит отказать. Истцом при подаче иска уплачена государственная пошлина в размере 480 942 рубля по платежному поручению от 19.12.2024 № 64232. В соответствии со статьей 110 Арбитражного процессуального кодекса Российской Федерации судебные расходы по уплате государственной пошлины по иску подлежат отнесению на ответчика со взысканием в пользу истца пропорционально удовлетворенным требованиям, что составляет 480 365 рублей. Руководствуясь статьями 110, 169-171, 176 Арбитражного процессуального кодекса Российской Федерации, арбитражный суд",отказано
"и ООО «Ваир» по земельному налогу за 2019 году произвести корректировку сальдо ЕНС ООО «Ваир» в связи с уменьшением суммы земельного налога согласно уточненной налогово декларации по земельному налогу за 2019 году на 364 784 руб. и уменьшением начисленных пеней за несвоевременную уплату земельного налога за 2019 год на 358 905 руб. 45 коп. отсутствуют. В соответствии с частью 3 статьи 201 АПК РФ арбитражный суд, установив, что оспариваемый ненормативный правовой акт, решения и действия (бездействие) государственных органов, органов местного самоуправления, иных органов, должностных лиц соответствуют закону или иному нормативному правовому акту и не нарушают права и законные интересы заявителя, суд принимает решение об отказе в удовлетворении заявленного требования. В связи с отказом в удовлетворении заявленных требований судебные расходы по делу относятся на заявителя. Руководствуясь статьями 167 – 170, 176, 201 Арбитражного процессуального кодекса Российской Федерации, арбитражный суд",отказано
"орых он ходатайствует, не указаны причины, препятствующие получению доказательств, относимость и допустимость указанного в ходатайстве доказательства к рассматриваемому делу не обоснована документально. Поскольку в удовлетворении основного требования о взыскании 98 600,00 руб. истцу отказано, то требование о взыскании неустойки в сумме 25 578,66 руб. удовлетворению также не подлежит. Расходы по государственной пошлине на основании части 1 статьи 110 Арбитражного процессуального кодекса РФ относятся на истца. Настоящий судебный акт выполнен в форме электронного документа, подписан усиленной квалифицированной электронной подписью судьи и будет направлен лицам, участвующим в деле, посредством его размещения на официальном сайте Арбитражного суда в сети ""Интернет"" в режиме ограниченного доступа не позднее следующего дня после дня его принятия. Руководствуясь статьями 110, 112, 150, 167 — 171, 176, 180, 181, 182, 319 Арбитражного процессуального кодекса Российской Федерации, арбитражный суд",отказано
"млению прав одной из его сторон (пункт 4 раздела II Обзора судебной практики Верховного Суда Российской Федерации № 4, утв. Президиумом Верховного Суда Российской Федерации 23.12.2015). На основании статьи 110 Арбитражного процессуального кодекса Российской Федерации, расходы по уплате государственной пошлины относятся на стороны пропорционально удовлетворенным требованиям. Злоупотребления со стороны истца, как указывает ответчик, то есть оснований, которые в силу части 2 статьи 111 Арбитражного процессуального кодекса Российской Федерации позволяют возложить все судебные расходы на лицо, злоупотребляющее своими процессуальными правами или не выполняющее свои процессуальные обязанности, судом не установлено. Само по себе изменение истцом размера исковых требований не является безусловным основанием для признания его действий злоупотреблением правом. Руководствуясь статьями 106, 110, 167-170 Арбитражного процессуального кодекса Российской Федерации, Арбитражный суд Архангельской области",частично
"правовых обязанностей, к формальным требованиям публичного права, связанным со строительством объекта капитального строительства. Материалы дела не содержат доказательств того, что фактические обстоятельства дела могут свидетельствовать об исключительности ситуации, позволяющей применить статью 2.9 Кодекса Российской Федерации об административных правонарушениях. В свою очередь, административное правонарушение, предусмотренное статьей 19.5 Кодекса Российской Федерации об административных правонарушениях, отнесено в соответствии с частью 2 статьи 4.1.1 Кодекса Российской Федерации об административных правонарушениях к числу административных правонарушений, при совершении которых не допускается замена наказания в виде административного штрафа предупреждением. Заявление о привлечении к административной ответственности государственной пошлиной не облагается. Руководствуясь статьями 167-170, 176, 206 Арбитражного процессуального кодекса Российской Федерации, арбитражный суд А54-1098/2025 11",отказано
"ются в части сниженной суммы из бюджета и подлежат А43-34385/2024 6 возмещению ответчиком исходя из суммы неустойки, которая подлежала бы взысканию без учета ее снижения. Определением от 28.10.2024 суд отказал истцу в принятии обеспечительных мер. В порядке статьи 110 Арбитражного процессуального кодекса Российской Федерации расходы по государственной пошлине за рассмотрение заявления о принятии обеспечительных мер подлежат отнесению на истца. Настоящее решение выполнено в форме электронного документа, подписано усиленной квалифицированной электронной подписью судьи и в соответствии с частью 1 статьи 177 Арбитражного процессуального кодекса Российской Федерации будет направлено лицам, участвующим в деле, посредством его размещения на официальном сайте арбитражного суда в сети «Интернет» в режиме ограниченного доступа не позднее следующего дня после дня его принятия. Руководствуясь статьями 110, 167 - 171, 176, 180, 181, 319 Арбитражного процессуального кодекса Российской Федерации, суд",принято
"атериалы дела не представлено, суд оснований для снижения пени не находит. Суд произвел самостоятельный расчет пени исходя из суммы задолженности, исчисленной по льготному тарифу. С учетом изложенного, суд взыскивает с ответчика в пользу истца 503,95 руб. пени за период с 10.02.2024 по 24.02.2025 (на день вынесения решения). Суд также считает подлежащими удовлетворению требования истца о взыскании с ответчика пени по день фактической оплаты долга с 25.02.2025. В удовлетворении остальной части требований суд отказывает. В соответствии со статьей 110 АПК РФ судебные расходы, понесенные лицами, участвующими в деле, в пользу которых принят судебный акт, взыскиваются арбитражным судом со стороны. Излишне уплаченная при подаче иска государственная пошлина подлежит возврату истцу на основании статьи 104 АПК РФ, статьи 333.40 Налогового кодекса Российской Федерации. Руководствуясь статьями 167-171, 176 Арбитражного процессуального кодекса Российской Федерации, Арбитражный суд Тюменской области",частично
"ния по отношению к ООО «АСК» (ответчику) в размере 5 000 рублей, также соответствующих процентов». В качестве документа, удостоверяющего уступленное право требования в договоре обозначена «квитанция об оплате 5 000 рублей». Таким образом, предмет договора и основание возникновения права требования сформулированы не четко, с использованием общих фраз, без конкретизации, что, по правилам статьи 431 ГК РФ затрудняет определить содержание этого договора и действительную волю сторон при его заключении. При изложенных обстоятельствах суд не находит оснований для удовлетворения иска, как в части требования основного долга, так и процентов за пользование чужими денежными средствами. В соответствии со статьей 110 АПК РФ судебные расходы ответчика по оплате судебной экспертизы, а также государственная пошлина по иску относится на истца. В связи с изложенным, руководствуясь статьями 110, 112, 167 – 169 Арбитражного процессуального кодекса Российской Федерации, Арбитражный суд Республики Татарстан",отказано
"и совершенного правонарушения и обеспечивает достижение целей административного наказания, предусмотренных частью 1 статьи 3.1 КоАП РФ. Поскольку в ходе проверки арест и изъятие вещей не осуществлялось, основания для разрешения в настоящем деле вопросов, указанных в части 3 статьи 29.10 КоАП РФ, отсутствуют. В соответствии с пунктом 1.1 статьи 29.10 КоАП РФ и пунктом 15 Постановления Пленума Высшего Арбитражного Суда Российской Федерации от А26-10751/2024 10 02.06.2004 № 10 в настоящем решении подлежит указанию информация о получателе штрафа, необходимая для заполнения расчетных документов. Руководствуясь статьями 167-170, 206, 229 Арбитражного процессуального кодекса Российской Федерации, пунктом 37 Постановления Пленума Верховного Суда Российской Федерации от 18.04.2017 № 10 «О некоторых вопросах применения судами положений Гражданского процессуального кодекса Российской Федерации и Арбитражного процессуального кодекса Российской Федерации об упрощенном производстве», арбитражный суд",принято
"государственную пошлину, предусмотренную статьями 1000071_6938759 9 333.19 и 333.21 НК РФ, наравне с иными участниками процесса. Например, по спору о взыскании переплаты за услуги по теплоснабжению занимаемых помещений инспекция Федеральной налоговой службы выступает в качестве участника гражданских правоотношений и хозяйствующего субъекта, а потому уплачивает государственную пошлину на общих основаниях. Из спорного контракта (п.1.1, п.1.5) усматривается, что он заключен с целью капитального ремонта офиса семейного врача. Финансирование ремонта осуществляется за счет субсидий из бюджета. Таким образом, контракт был заключен истцом не для собственных нужд, и настоящий спор связан с выполнением истцом отдельных функций государственного органа. При изложенных обстоятельствах, с ответчика в доход федерального бюджета подлежит взысканию государственная пошлина в размере 7 251,63 руб. Руководствуясь статьями 110, 167 - 170, 227 - 229 Арбитражного процессуального кодекса Российской Федерации,",частично
"ю на ответчика. Расходы на фиксацию правонарушения признаны судом чрезмерными, поскольку выражались в осмотре сайта в информационно-телекоммуникационной сети Интернет и не требовали специальных познаний и затрат. Таким образом, в требовании о взыскании расходов на фиксацию правонарушения суд отказывает. При изготовлении резолютивной части решения судом была допущена опечатка при указании суммы взысканных почтовых расходов, а именно ошибочно указана сумма «142,50руб.,», тогда как следовало указать «142руб.,». В соответствии с частью 3 статьи 179 Арбитражного процессуального кодекса Российской Федерации арбитражный суд, принявший решение, по своей инициативе вправе исправить допущенные описки без изменения его содержания. Таким образом, суд считает возможным исправить допущенную опечатку и читать сумму почтовых расходов, взысканной с ответчика, «в сумме 142руб.». Руководствуясь статьями 110,112,167-170,176-180,181 Арбитражного процессуального кодекса Российской Федерации, арбитражный суд",отказано
"тся рассмотрение дела по существу (ст. 112 АПК РФ). Учитывая, что почтовые расходы связаны с рассматриваемым спором, подтверждены надлежащими доказательствами, с учётом результата рассмотрения дела подлежат отнесению на ответчика В соответствии с ч.1 ст.110 Арбитражного процессуального кодекса Российской Федерации судебные расходы, понесенные лицом, участвующим в деле, в пользу которого принят судебный акт, взыскиваются со стороны. Поскольку при предъявлении искового заявления истец был освобожден от уплаты государственной пошлины на основании пп. 1 п. 1 ст. 333.37 Налогового кодекса Российской Федерации, государственная пошлина подлежит взысканию с ответчика непосредственно в доход федерального 1245703104_15944524 5 бюджета на основании ст.110 Арбитражного процессуального кодекса Российской Федерации. На основании 330, 606, 614 Гражданского кодекса Российской Федерации, руководствуясь статьями 110, 167-171, 229 Арбитражного процессуального кодекса Российской Федерации, арбитражный суд",частично
"ия обязательств. Размер договорной неустойки, определенный сторонами (0,1 % не перечисленных сумм за каждый день просрочки), не является завышенным и не выходит за рамки обычной деловой практики по данной категории дел, требований разумности и справедливости. Иного ответчиком в нарушение статьи 65 АПК РФ не доказано. Вопреки доводам ответчика, конкурсного кредитора ответчика, с учетом конкретных обстоятельств дела, а именно разумной ставки неустойки (0,1% суммы долга в день), длительности периода просрочки, оснований для снижения неустойки в связи с ее несоразмерностью в порядке статьи 333 ГК РФ не имеется. Само по себе нахождение ответчика в процедуре банкротства достаточным основанием для снижения неустойки не является. Государственная пошлина подлежит взысканию с ответчика в доход федерального бюджета (ст. 110 Арбитражного процессуального кодекса Российской Федерации). Руководствуясь ст.110, 167-170, 171, 176 Арбитражного процессуального кодекса Российской Федерации, арбитражный суд",принято
"редств с расходами ответчика при управлении спорными МКД суд приходит к выводу о наличии отрицательного сальдо в размере 4695486 руб. 12 коп., что указывает на отсутствие неосновательного обогащения на стороне ответчика и отказ в иске по данному основанию. Иные доводы ответчика, как то отсутствие полномочий на предъявление иска и пропуск срока исковой давности суд отклоняет, поскольку право на предъявление иска управляющей компанией от имени собственников следует из закона; срок исковой давности также не пропущен, поскольку он начинает течь не ранее даты, когда истец приступил к управлению многоквартирными домами. Судебные расходы по делу относятся на истца в порядке ст. 110 АПК РФ. 100792_15942298 7 Поскольку при подаче иска истцу была предоставлена отсрочка по уплате государственной пошлины, то 103466 руб. 00 коп. подлежат взысканию с истца в доход федерального бюджета. Руководствуясь ст.110, 167-170, 171, 176 Арбитражного процессуального кодекса Российской Федерации, арбитражный суд",отказано
"йствий, а общество не представило доказательств нарушения действием должностных лиц его прав и законных интересов, то суд отказывает в удовлетворении заявленных требований общества в полном объеме. Дополнительно суд указывает заявителю на то, что взыскатель не лишен права повторно предъявить исполнительный лист ко взысканию в пределах трех лет со дня возвращения исполнительного листа взыскателю, если не истек трехлетний срок на предъявление исполнительного документа к исполнению, исчисляемый с даты получения почтой взыскателем постановления об окончании исполнительного производства. Вопрос о распределении судебных расходов не рассматривался, поскольку в соответствии с частью 2 статьи 329 Арбитражного процессуального кодекса Российской Федерации заявление об оспаривании решений и действий (бездействия) судебного пристава-исполнителя государственной пошлиной не облагается. Руководствуясь статьями 167-170, 176, 201 Арбитражного процессуального кодекса Российской Федерации, арбитражный суд",отказано
